0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
59.88, 119.76, 0.00, 0.00
119.88, 179.82, 839.16, 239.76
539.46, 1618.38, 1918.08, 1078.92
1798.20, 3176.82, 3416.58, 2157.84
3233.53, 4311.38, 4431.14, 3952.10
4440.00, 4380.00, 4560.00, 4560.00
4495.50, 4315.68, 4675.32, 4555.44
4555.44, 4495.50, 4615.38, 4675.32
4495.50, 4375.62, 4555.44, 4555.44
4555.44, 4375.62, 4555.44, 4675.32
4735.26, 4615.38, 4675.32, 4735.26
5748.50, 6167.66, 6167.66, 5748.50
5880.00, 6840.00, 5820.00, 6000.00
5928.14, 5748.50, 5868.26, 5928.14
5874.13, 5634.37, 5994.01, 5934.07
5874.13, 5754.25, 5874.13, 5814.19
5940.00, 5700.00, 5280.00, 5640.00
5748.50, 5688.62, 5868.26, 6047.90
5880.00, 5640.00, 5880.00, 5880.00
5754.25, 5634.37, 5934.07, 5814.19
6053.95, 5874.13, 5934.07, 5994.01
7252.75, 6893.11, 7732.27, 7132.87
7192.81, 7072.93, 7192.81, 7132.87
7132.87, 7132.87, 7192.81, 7732.27
7125.75, 7005.99, 7305.39, 7185.63
7200.00, 7080.00, 7200.00, 7440.00
7245.51, 7125.75, 7305.39, 7185.63
7192.81, 7012.99, 7132.87, 7312.69
7132.87, 7132.87, 7192.81, 7192.81
7320.00, 7020.00, 7260.00, 7200.00
7245.51, 7245.51, 7245.51, 7245.51
8091.91, 7612.39, 7792.21, 7972.03
7972.03, 7612.39, 8091.91, 7792.21
7732.27, 7612.39, 7792.21, 7912.09
7732.27, 7672.33, 8991.01, 7732.27
8091.91, 7732.27, 7732.27, 7852.15
7740.00, 7560.00, 7860.00, 8340.00
7724.55, 8203.59, 7784.43, 7724.55
7740.00, 8700.00, 7800.00, 7800.00
7672.33, 7672.33, 7852.15, 7792.21
6893.11, 6893.11, 7012.99, 7012.99
2395.21, 2574.85, 2574.85, 2574.85
1020.00, 1080.00, 1140.00, 1260.00
538.92, 598.80, 658.68, 658.68
300.00, 300.00, 360.00, 420.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
299.70, 179.82, 719.28, 59.94
59.88, 119.76, 2035.93, 179.64
719.28, 239.76, 4015.98, 1438.56
2337.66, 2037.96, 4495.50, 2757.24
4015.98, 3716.28, 4495.50, 4135.86
4550.90, 4371.26, 4610.78, 4491.02
4500.00, 4380.00, 4560.00, 4620.00
4491.02, 4311.38, 4491.02, 4550.90
4615.38, 4375.62, 4495.50, 4675.32
4555.44, 4375.62, 4555.44, 4615.38
5634.37, 5454.55, 5694.31, 5634.37
5814.19, 5694.31, 6053.95, 5814.19
5934.07, 5634.37, 5814.19, 5814.19
5820.00, 5580.00, 5820.00, 6000.00
5808.38, 5688.62, 5808.38, 5808.38
5814.19, 5634.37, 5814.19, 5814.19
5874.13, 5754.25, 6233.77, 5814.19
5814.19, 5754.25, 6173.83, 5874.13
5808.38, 5628.74, 5808.38, 5808.38
5880.00, 5760.00, 6060.00, 5940.00
6946.11, 7245.51, 7065.87, 7365.27
7252.75, 7012.99, 7492.51, 7192.81
7132.87, 7072.93, 7312.69, 7492.51
7320.00, 7020.00, 8100.00, 7320.00
7192.81, 7132.87, 7252.75, 7252.75
7245.51, 7005.99, 7125.75, 7185.63
7080.00, 7020.00, 7620.00, 7140.00
7065.87, 7065.87, 7065.87, 7125.75
7312.69, 7132.87, 7132.87, 7132.87
7492.51, 7612.39, 7552.45, 7372.63
8031.97, 7672.33, 7852.15, 8451.55
7724.55, 7784.43, 7784.43, 7784.43
7672.33, 7972.03, 7732.27, 7792.21
7792.21, 7552.45, 7792.21, 7672.33
7732.27, 7852.15, 8091.91, 7732.27
7664.67, 7904.19, 7784.43, 7724.55
8220.00, 7680.00, 7860.00, 7860.00
7972.03, 7672.33, 7852.15, 7972.03
7784.43, 7664.67, 7904.19, 7844.31
7680.00, 7620.00, 7800.00, 7740.00
8031.97, 7792.21, 7732.27, 7972.03
3896.10, 3776.22, 4435.56, 3776.22
1497.01, 1497.01, 1437.13, 1437.13
720.00, 720.00, 720.00, 660.00
299.40, 179.64, 239.52, 299.40
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
59.94, 59.94, 59.94, 59.94
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
0.00, 0.00, 0.00, 0.00
60.00, 60.00, 60.00, 120.00
59.88, 59.88, 59.88, 59.88
