First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
150,75,500,25,800,0
-0.507311819,-0.140673077,0.418526984,-0.000926321,0.006259884,0.003388697
-0.005377597,-0.001916296,0.210192326,0.00302392,0.001722679,6.89E-05
-0.125026355,-0.070717616,-0.002342829,-0.000437109,0.000668032,0.001680081
-0.511307478,-0.281152479,-0.015776021,0.004335901,0.002584546,0.006706819
0,0,0,0,0,0
-0.004480615,-0.150952152,-0.220961383,0.005192315,0.003302024,0.003408507
-0.385834258,-0.215985441,0.413356163,0.004736513,0.005449454,0.005178122
-0.131335773,-0.077556084,-0.005598236,0.002553402,0.005835133,0.001688022
0.002275669,-0.149664264,0.209083377,0.002165307,0.001667863,0.003551951
-0.256362127,-0.1482737,-0.007941066,0.002116293,0.006503165,0.003368102
-0.264015394,-0.000525732,-0.006832118,0.002974906,0.006557981,-0.000114908
0,0,0,0,0,0
-0.137160235,-0.0739218,-0.222195265,0.005613819,0.004024872,0.001605577
-0.388109927,-0.066321177,0.204272785,0.002571206,0.003781591,0.001626172
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.255430306,-0.143351529,0.205506667,0.002149702,0.003058743,0.003429102
-0.256362127,-0.1482737,-0.007941066,0.002116293,0.006503165,0.003368102
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.131335773,-0.077556084,-0.005598236,0.002553402,0.005835133,0.001688022
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.263083572,0.004396439,0.206615615,0.003008315,0.003113559,-5.39E-05
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.255430306,-0.143351529,0.205506667,0.002149702,0.003058743,0.003429102
-0.122750685,-0.220381881,0.206740548,0.001728198,0.002335895,0.005232031
-0.005377597,-0.001916296,0.210192326,0.00302392,0.001722679,6.89E-05
-0.248708861,-0.296021668,-0.009050014,0.00125768,0.006448349,0.006851113
-0.255430306,-0.143351529,0.205506667,0.002149702,0.003058743,0.003429102
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.264015394,-0.000525732,-0.006832118,0.002974906,0.006557981,-0.000114908
-0.389488614,-0.065692769,-0.435964301,0.002574293,0.003693073,0.001413788
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.125958176,-0.075639788,-0.215790562,-0.000470519,0.004112454,0.001619081
-0.256362127,-0.1482737,-0.007941066,0.002116293,0.006503165,0.003368102
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.26218659,-0.144639417,-0.224538094,0.00517671,0.004692904,0.003285658
-0.638162636,-0.20775641,0.199587126,0.001696987,0.005117655,0.004986333
0,0,0,0,0,0
0,0,0,0,0,0
-0.513136281,-0.137038794,0.201929956,0.002134097,0.004449623,0.003306253
-0.138989039,0.070191884,-0.004489288,0.003412015,0.005889949,-0.001794989
-0.005377597,-0.001916296,0.210192326,0.00302392,0.001722679,6.89E-05
-0.381388482,-0.218991317,-0.010283895,0.001679184,0.007171197,0.005048183
-0.263083572,0.004396439,0.206615615,0.003008315,0.003113559,-5.39E-05
