First line indicates sampling freq [Hz], samples per channel, QTimer [ms] 
Fx, Fy, Fz, Mz, My, Mz 
150,75,500,23.38,835.09,0
0.12730202373684715,-0.07894664769232264,0.21142620679211682,0.002602416670663073,0.0009998314088433627,0.0018718699532665746
0.12009562290743757,0.0632507412522705,0.6393245088732402,0.0034245329388312325,0.004587587133164464,-0.0014597557492779722
0.12192442667948909,-0.08086294365939839,0.4216185323068558,0.005626337170544027,0.0027225104636427033,0.001940810278668362
-0.008479524924006582,-0.1534968560917052,0.6294680283300941,0.008213148448633441,0.005113221540844243,0.003689831208443161
-0.13578154866085373,-0.07455020839938258,0.4180418215379773,0.005610731777970369,0.00411339013200088,0.001817961255176586
0.1326796207942052,-0.07703035172524689,0.0012338812773778482,-0.00042150382921788115,-0.0007228476459559776,0.0018029296278647866
0.0004468654186580098,-0.005550579245884839,0.4267893538670006,-3.649678284126141e-05,0.0035329401007673233,0.00015138452969325046
-0.13040395160349566,-0.07263391243230682,0.2078494960232383,0.0025868112780894153,0.0023907110772015397,0.0017490209297747982
0.25232837828298477,-0.00822903122709157,0.2137690362836175,0.0030395258924546123,0.0003317993864411635,0.00019178934889356385
0.11654682962213103,-0.08277923962647413,0.6318108578215947,0.008650257670424981,0.004445189518442044,0.00200975060407015
-0.14115914571821178,-0.07646650436645831,0.6282341470527163,0.008634652277851323,0.00583606918680022,0.0018869015805783739
0.2469507812256267,-0.010145327194167315,0.4239613617983564,0.006063446392335566,0.002054478441240504,0.00026072967429535156
-0.006309418279542971,-0.006838467252970889,-0.003255406884446411,0.002990511221396361,0.005167100912581536,7.941078213393899e-06
-0.1245794891274796,-0.07626819571111591,0.42444652437549996,-0.0004736060046328007,0.004200972123169522,0.001831465134066261
0.2577059753403428,-0.0063127352600158265,0.0035767107688785054,1.5605392573658216e-05,-0.0013908796683581768,0.0001228490234917761
0.12730202373684715,-0.07894664769232264,0.21142620679211682,0.002602416670663073,0.0009998314088433627,0.0018718699532665746
-0.14209096694039672,-0.08138867565235346,0.4147864146535309,0.008601242999366729,0.009280491044582416,0.00182590233338998
