First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.006236489,0.16314289,0.001215059,0.000961928,-0.010366968,-0.003512396
-0.134023469,0.231616787,0.003130474,-0.001710394,-0.004389438,-0.005293881
-0.252328378,0.008229031,-0.213769036,-0.003039526,-0.000331799,-0.000191789
-0.129130828,0.223060333,0.00627977,-0.004804221,0.000865245,-0.005272436
-0.147986153,0.372526288,0.000984015,0.00213873,0.000832479,-0.00876895
-0.136228414,-0.068999629,-0.008747532,0.005647229,0.00058045,0.001666577
-0.012545908,0.156304423,-0.002040348,0.00395244,-0.005199867,-0.003504455
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.255357377,0.026629828,0.209977133,0.000121119,-0.012475326,-9.12E-05
-0.125885247,0.09434157,-0.211320096,-0.002499101,-0.011421615,-0.001901256
-0.12771405,0.238455254,0.006385881,-0.004700906,-0.009556539,-0.005301822
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.127302024,0.078946648,-0.211426207,-0.002602417,-0.000999831,-0.00187187
-0.147986153,0.372526288,0.000984015,0.00213873,0.000832479,-0.00876895
-0.151534947,0.226496307,-0.006529636,0.007364455,0.000690081,-0.005299444
-0.268908035,0.008030723,-0.009981414,0.006068732,0.001303298,-0.000136353
-0.021130995,0.29913022,-0.214379132,0.004777643,-0.00170063,-0.007048465
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.12771405,0.238455254,0.006385881,-0.004700906,-0.009556539,-0.005301822
7.29E-05,0.169981357,0.004470466,-0.002028583,-0.015534069,-0.003520337
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.139847931,0.23525107,-0.213466555,0.001350023,-0.006199699,-0.005376325
0.11830491,0.223387756,0.21689951,0.001329132,-0.004057638,-0.005102092
-0.2604666,0.145504249,0.000681533,-0.002250819,0.006700378,-0.003584414
-0.002760625,0.139191514,0.004258244,-0.002235214,0.005309499,-0.003461565
0.250052709,0.141435233,0.004685659,0.000874218,-0.001336064,-0.003360161
-0.256774154,0.011234907,0.209871022,1.78E-05,-0.002053542,-6.18E-05
-0.131262844,0.092425274,-0.00112777,0.000524819,-0.009698936,-0.001832316
0.119721687,0.238782678,0.217005621,0.001432447,-0.014479422,-0.005131478
-0.130331023,0.097347445,0.212319962,0.000558228,-0.013143358,-0.001771316
-0.133091648,0.236538958,0.216578206,-0.001676985,-0.00783386,-0.005232882
0.11602924,0.37305202,0.007816133,-0.000836176,-0.005725502,-0.008654042
-0.001343848,0.154586435,0.004364355,-0.002131898,-0.005112285,-0.003490951
-0.12778698,0.068473897,0.001915415,-0.002672323,0.005977531,-0.001781485
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.01120206,0.001717987,-0.006404703,0.006084338,-8.76E-05,-1.35E-05
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.000412027,0.159508607,0.217812087,-0.002098489,-0.008556707,-0.003429952
-0.133091648,0.236538958,0.216578206,-0.001676985,-0.00783386,-0.005232882
-0.258118002,0.165821342,0.214235377,-0.002114094,-0.007165827,-0.003552801
-0.002687696,0.309172871,0.00872871,-0.004263796,-0.010224571,-0.006981903
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
-0.251396557,0.013151203,-0.000321304,-0.003006117,-0.003776221,-0.00013079
-0.002275669,0.149664264,-0.209083377,-0.002165307,-0.001667863,-0.003551951
0.123197551,0.214831301,0.220048806,-0.001764695,0.001197045,-0.005080647
-0.377839689,-0.072961336,-0.002770244,-0.003546541,0.007313595,0.001578677
-0.134508425,0.221144037,0.216472095,-0.0017803,0.002587924,-0.005203496
0.123682507,0.225304052,0.006707185,-0.001694789,-0.005780317,-0.005171032
-0.264874286,0.164533454,-0.215809384,0.000912914,-0.005531667,-0.003696245
-0.144740572,0.243807525,-0.21661585,0.00444385,-0.011454382,-0.00539777
-0.007580337,0.317729325,0.005579414,-0.00116997,-0.015479253,-0.007003348
-0.263942465,0.169455625,-0.002361652,0.000946323,-0.008976089,-0.003635245
-0.376422912,-0.057566414,-0.002664133,-0.003443226,-0.003108189,0.001549291
-0.008997114,0.302334404,0.005473303,-0.001273285,-0.00505747,-0.006973962
-0.126855158,0.073396068,0.215363147,-0.002638913,0.002533109,-0.001720485
-0.125958176,-0.075639788,-0.215790562,-0.000470519,0.004112454,0.001619081
-0.015306532,0.295495936,0.002217896,0.001717226,0.000109631,-0.00696602
-0.006721445,0.152670139,0.214556681,0.000892022,-0.003389606,-0.003422011
-0.25722102,0.016785486,-0.216918332,5.43E-05,-0.005586482,-0.000213234
-0.013889755,0.310890858,0.002324007,0.001820541,-0.010312153,-0.006995406
0.00496557,0.161424903,0.007619762,-0.005122409,-0.010279386,-0.003498892
-0.508170711,0.024386109,0.209549718,-0.002988313,-0.005829763,-0.00019264
0.00496557,0.161424903,0.007619762,-0.005122409,-0.010279386,-0.003498892
-0.000412027,0.159508607,0.217812087,-0.002098489,-0.008556707,-0.003429952
-0.263530438,0.009947019,-0.220173739,0.003044812,-0.000419381,-0.000205293
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.028337396,0.441327609,0.21351917,0.00559976,0.001887126,-0.01038009
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.259981645,0.155976999,-0.212660088,-0.002180913,-0.000276984,-0.0036748
-0.141676735,0.379364755,0.004239422,-0.000851781,-0.004334622,-0.008776891
-0.248635932,-0.126040311,-0.004579548,-0.000770903,-0.00908572,0.003330775
-0.255357377,0.026629828,0.209977133,0.000121119,-0.012475326,-9.12E-05
-0.008512158,0.312807154,-0.207868318,-0.001203379,-0.012034832,-0.007064347
-0.126370203,0.083868819,0.002021526,-0.002569007,-0.004444253,-0.001810871
-0.126370203,0.083868819,0.002021526,-0.002569007,-0.004444253,-0.001810871
-0.147986153,0.372526288,0.000984015,0.00213873,0.000832479,-0.00876895
-0.273012508,0.301808672,-0.001358814,0.001701621,0.001500511,-0.007088869
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.139847931,0.23525107,-0.213466555,0.001350023,-0.006199699,-0.005376325
-0.139847931,0.23525107,-0.213466555,0.001350023,-0.006199699,-0.005376325
-0.110131849,-0.206704946,0.213251362,-0.004252824,-0.007998306,0.005216149
-0.260393671,0.315485606,0.005151999,-0.004279402,-0.008833691,-0.007104752
0.003136767,0.305538588,0.225325739,-0.007324214,-0.00841431,-0.006899458
-0.117785115,-0.058956978,0.21436031,-0.003394211,-0.007943491,0.001733139
-0.134023469,0.231616787,0.003130474,-0.001710394,-0.004389438,-0.005293881
-0.020199174,0.304052391,-0.0009314,0.004811053,-0.005145052,-0.006987465
-0.14388168,0.078748339,-0.007638584,0.006505842,0.000635266,-0.001816434
-0.138057218,0.075114056,0.208958444,0.003445424,0.002445527,-0.001733989
-0.015306532,0.295495936,0.002217896,0.001717226,0.000109631,-0.00696602
0.003548793,0.146029981,0.007513651,-0.005225725,0.000142398,-0.003469506
-0.112892474,-0.067513432,0.217509606,-0.006488038,-0.002688808,0.001754584
-0.135367317,0.386203223,0.007494829,-0.003842293,-0.009501723,-0.008784832
